order_ref,order_date,customer_id,origin_name,origin_city,origin_country,dest_city,dest_country,units,weight_kg,mode,product_category,order_value,returned
SO-00397,2025-09-01,C-TOK-002,Shenzhen DC,Shenzhen,CN,Tokyo,JP,3,11.59,sea,cases,630.47,0
SO-00885,2025-09-01,C-LOS-009,Memphis DC,Memphis,US,Los Angeles,US,11,19.62,road,chargers,346.1,1
SO-00728,2025-09-02,C-NEW-012,Memphis DC,Memphis,US,New York City,US,4,10.73,road,storage,515.86,1
SO-00811,2025-09-02,C-CHI-005,Memphis DC,Memphis,US,Chicago,US,6,20.87,road,audio,688.15,0
SO-01033,2025-09-02,C-SAO-013,Memphis DC,Memphis,US,Sao Paulo,BR,16,42.14,sea,cables,545.78,0
SO-01107,2025-09-02,C-BUE-009,Memphis DC,Memphis,US,Buenos Aires,AR,7,20.76,sea,storage,467.77,0
SO-01301,2025-09-02,C-KAR-036,Dubai DC,Dubai,AE,Karachi,PK,10,19.72,sea,wearables,305.32,1
SO-00333,2025-09-03,C-STO-030,Rotterdam DC,Rotterdam,NL,Stockholm,SE,8,17.1,road,chargers,369.43,0
SO-00495,2025-09-03,C-SIN-015,Shenzhen DC,Shenzhen,CN,Singapore,SG,6,25.17,sea,audio,452.7,0
SO-00950,2025-09-03,C-TOR-018,Memphis DC,Memphis,US,Toronto,CA,11,22.53,road,cables,683.67,0
SO-01108,2025-09-03,C-BUE-022,Memphis DC,Memphis,US,Buenos Aires,AR,9,31.02,sea,audio,685.51,0
SO-01172,2025-09-03,C-CAI-030,Dubai DC,Dubai,AE,Cairo,EG,2,8.6,sea,audio,526.3,0
SO-00287,2025-09-04,C-WAR-009,Rotterdam DC,Rotterdam,NL,Warsaw,PL,20,32.65,road,cases,643.0,0
SO-00448,2025-09-04,C-SEO-017,Shenzhen DC,Shenzhen,CN,Seoul,KR,12,24.06,sea,audio,975.33,1
SO-00717,2025-09-04,C-NEW-017,Memphis DC,Memphis,US,New York City,US,10,24.76,road,storage,617.67,1
SO-00825,2025-09-04,C-CHI-006,Memphis DC,Memphis,US,Chicago,US,7,25.36,road,audio,1021.49,0
SO-01183,2025-09-04,C-CAI-005,Dubai DC,Dubai,AE,Cairo,EG,22,31.29,sea,wearables,363.2,0
SO-00848,2025-09-05,C-CHI-021,Memphis DC,Memphis,US,Chicago,US,8,16.3,road,cases,558.77,0
SO-00894,2025-09-05,C-LOS-039,Memphis DC,Memphis,US,Los Angeles,US,9,30.02,road,audio,842.01,0
SO-01244,2025-09-06,C-LAG-033,Dubai DC,Dubai,AE,Lagos,NG,12,25.62,air,audio,257.24,0
SO-00159,2025-09-07,C-PAR-012,Rotterdam DC,Rotterdam,NL,Paris,FR,7,25.76,road,cases,640.7,0
SO-00384,2025-09-07,C-TOK-039,Shenzhen DC,Shenzhen,CN,Tokyo,JP,8,22.48,sea,cases,519.17,0
SO-00976,2025-09-07,C-TOR-004,Memphis DC,Memphis,US,Toronto,CA,11,17.31,road,chargers,799.36,0
SO-01061,2025-09-07,C-BOG-029,Memphis DC,Memphis,US,Bogota,CO,7,19.3,air,wearables,524.43,0
