order_ref,order_date,customer_id,origin_name,origin_city,origin_country,dest_city,dest_country,units,weight_kg,mode,product_category,order_value,returned
WS-0163,2025-09-01,C-EDI-01,Bristol Roastery,Bristol,GB,Edinburgh,GB,57,52.46,road,espresso blend,708.08,0
WS-0093,2025-09-02,C-EXE-03,Bristol Roastery,Bristol,GB,Exeter,GB,90,82.35,road,equipment,1759.85,0
WS-0096,2025-09-02,C-EXE-03,Bristol Roastery,Bristol,GB,Exeter,GB,78,62.07,road,espresso blend,796.33,0
WS-0095,2025-09-03,C-EXE-03,Bristol Roastery,Bristol,GB,Exeter,GB,105,92.24,road,filter,1210.2,0
WS-0010,2025-09-05,C-LON-04,Bristol Roastery,Bristol,GB,London,GB,106,81.93,road,espresso blend,975.79,0
WS-0025,2025-09-07,C-LON-04,Bristol Roastery,Bristol,GB,London,GB,140,136.84,road,equipment,3143.91,0
WS-0151,2025-09-09,C-LEE-01,Bristol Roastery,Bristol,GB,Leeds,GB,103,75.15,road,decaf,998.76,0
WS-0068,2025-09-10,C-CAR-02,Bristol Roastery,Bristol,GB,Cardiff,GB,80,79.21,road,retail bags,1332.71,0
WS-0140,2025-09-10,C-DUB-02,Bristol Roastery,Bristol,GB,Dublin,IE,45,30.14,air,espresso blend,347.87,0
WS-0128,2025-09-14,C-MAN-01,Bristol Roastery,Bristol,GB,Manchester,GB,82,72.23,road,espresso blend,888.44,0
WS-0049,2025-09-16,C-BAT-01,Bristol Roastery,Bristol,GB,Bath,GB,68,65.69,road,retail bags,1052.27,0
WS-0104,2025-09-21,C-BIR-01,Bristol Roastery,Bristol,GB,Birmingham,GB,165,117.06,road,decaf,1632.94,0
WS-0139,2025-09-22,C-DUB-02,Bristol Roastery,Bristol,GB,Dublin,IE,46,33.76,air,espresso blend,443.23,0
WS-0083,2025-09-23,C-EXE-03,Bristol Roastery,Bristol,GB,Exeter,GB,141,115.75,road,espresso blend,1469.17,0
WS-0137,2025-09-25,C-DUB-02,Bristol Roastery,Bristol,GB,Dublin,IE,67,60.67,air,espresso blend,796.48,0
WS-0071,2025-09-27,C-CAR-02,Bristol Roastery,Bristol,GB,Cardiff,GB,59,55.46,road,espresso blend,653.08,0
WS-0053,2025-09-28,C-BAT-02,Bristol Roastery,Bristol,GB,Bath,GB,151,123.72,road,decaf,1694.68,0
WS-0062,2025-09-30,C-CAR-03,Bristol Roastery,Bristol,GB,Cardiff,GB,73,54.74,road,retail bags,873.94,0
WS-0109,2025-10-01,C-BIR-01,Bristol Roastery,Bristol,GB,Birmingham,GB,105,85.3,road,equipment,1763.95,0
WS-0114,2025-10-07,C-BIR-02,Bristol Roastery,Bristol,GB,Birmingham,GB,77,54.09,road,decaf,685.21,0
WS-0011,2025-10-08,C-LON-01,Bristol Roastery,Bristol,GB,London,GB,188,131.76,road,equipment,3123.54,0
WS-0153,2025-10-15,C-BRI-01,Bristol Roastery,Bristol,GB,Brighton,GB,51,32.56,road,retail bags,530.0,0
WS-0054,2025-10-21,C-BAT-04,Bristol Roastery,Bristol,GB,Bath,GB,157,128.63,road,retail bags,2242.08,0
WS-0078,2025-10-21,C-CAR-02,Bristol Roastery,Bristol,GB,Cardiff,GB,105,104.72,road,filter,1481.38,0
WS-0077,2025-10-22,C-CAR-02,Bristol Roastery,Bristol,GB,Cardiff,GB,78,74.15,road,filter,977.71,0
WS-0058,2025-10-23,C-BAT-01,Bristol Roastery,Bristol,GB,Bath,GB,113,71.4,road,equipment,1612.08,0
WS-0156,2025-10-23,C-BRI-02,Bristol Roastery,Bristol,GB,Brighton,GB,40,38.18,road,espresso blend,492.46,0
WS-0130,2025-10-24,C-MAN-01,Bristol Roastery,Bristol,GB,Manchester,GB,93,63.65,road,equipment,1467.04,0
WS-0180,2025-10-26,C-PAR-01,Bristol Roastery,Bristol,GB,Paris,FR,87,53.63,road,espresso blend,626.76,0
WS-0129,2025-10-28,C-MAN-02,Bristol Roastery,Bristol,GB,Manchester,GB,111,68.36,road,decaf,940.01,0
WS-0172,2025-10-28,C-AMS-01,Bristol Roastery,Bristol,GB,Amsterdam,NL,50,43.88,road,espresso blend,525.95,0
WS-0031,2025-10-29,C-LON-04,Bristol Roastery,Bristol,GB,London,GB,176,115.05,road,decaf,1415.86,0
WS-0075,2025-10-29,C-CAR-01,Bristol Roastery,Bristol,GB,Cardiff,GB,100,66.79,road,filter,922.13,1
